active,date,points_scored,plus_minus,team,location,opponent,outcome,seconds_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,game_score
TRUE,1/2/2017,22,7,GOLDEN STATE WARRIORS,HOME,DEN,WIN,2103,8,18,3,9,3,3,0,3,5,0,0,3,2,13.2
TRUE,1/4/2017,35,6,GOLDEN STATE WARRIORS,HOME,POR,WIN,2154,12,25,5,13,6,8,1,6,5,1,0,5,1,23.1
TRUE,1/6/2017,40,-10,GOLDEN STATE WARRIORS,HOME,MEM,LOSS,2533,15,27,5,13,5,5,0,3,6,1,1,4,2,29.1
TRUE,1/8/2017,30,14,GOLDEN STATE WARRIORS,AWAY,SAC,WIN,2226,11,22,5,11,3,3,2,2,6,2,0,4,3,22
TRUE,1/10/2017,24,18,GOLDEN STATE WARRIORS,HOME,MIA,WIN,2143,8,21,4,11,4,5,1,7,9,1,1,3,0,19.9
TRUE,1/12/2017,24,32,GOLDEN STATE WARRIORS,HOME,DET,WIN,1791,9,17,3,9,3,3,0,2,7,5,0,8,0,18.2
TRUE,1/16/2017,20,23,GOLDEN STATE WARRIORS,HOME,CLE,WIN,1855,7,20,5,12,1,2,0,2,11,4,0,3,2,16.9
TRUE,1/18/2017,24,19,GOLDEN STATE WARRIORS,HOME,OKC,WIN,2051,9,19,2,6,4,4,0,4,8,3,0,3,0,21.1
TRUE,1/20/2017,24,15,GOLDEN STATE WARRIORS,AWAY,HOU,WIN,1977,8,18,5,11,3,5,0,1,7,1,0,1,1,18.6
TRUE,1/22/2017,27,32,GOLDEN STATE WARRIORS,AWAY,ORL,WIN,1773,8,15,7,13,4,4,1,3,6,0,0,3,2,21.7
TRUE,1/23/2017,21,1,GOLDEN STATE WARRIORS,AWAY,MIA,LOSS,2191,7,19,3,9,4,5,0,9,8,0,1,4,2,14.3
TRUE,1/25/2017,28,0,GOLDEN STATE WARRIORS,AWAY,CHA,WIN,2176,11,23,6,12,0,0,0,2,7,1,1,4,2,18.7
TRUE,1/28/2017,43,42,GOLDEN STATE WARRIORS,HOME,LAC,WIN,1737,15,23,9,15,4,4,0,9,6,0,0,2,1,37.4
TRUE,2/1/2017,39,25,GOLDEN STATE WARRIORS,HOME,CHA,WIN,1816,14,20,11,15,0,0,1,4,8,3,0,1,2,39.3
TRUE,2/2/2017,29,13,GOLDEN STATE WARRIORS,AWAY,LAC,WIN,2246,11,23,3,10,4,4,1,2,11,3,0,4,1,24.9
TRUE,2/4/2017,35,4,GOLDEN STATE WARRIORS,AWAY,SAC,LOSS,2505,11,20,8,14,5,6,0,4,9,3,0,3,2,31.7
TRUE,2/8/2017,13,20,GOLDEN STATE WARRIORS,HOME,CHI,WIN,1692,5,11,1,4,2,2,0,1,6,1,0,2,4,9.2
TRUE,2/10/2017,18,15,GOLDEN STATE WARRIORS,AWAY,MEM,WIN,2091,6,13,2,6,4,5,0,4,5,0,0,3,3,11.4
TRUE,2/11/2017,26,16,GOLDEN STATE WARRIORS,AWAY,OKC,WIN,2034,9,19,4,11,4,4,3,5,9,2,0,0,2,27.4
TRUE,2/13/2017,11,-24,GOLDEN STATE WARRIORS,AWAY,DEN,LOSS,1602,4,18,1,11,2,2,1,1,5,1,0,1,1,4.1
TRUE,2/15/2017,13,23,GOLDEN STATE WARRIORS,HOME,SAC,WIN,1803,4,14,2,8,3,4,0,6,9,0,2,3,2,10.1
TRUE,2/23/2017,35,26,GOLDEN STATE WARRIORS,HOME,LAC,WIN,1931,10,16,6,10,9,10,1,6,5,4,0,4,5,31.4
TRUE,2/25/2017,27,17,GOLDEN STATE WARRIORS,HOME,BKN,WIN,2095,9,21,5,10,4,4,1,4,5,3,0,4,2,19.5
TRUE,2/27/2017,19,8,GOLDEN STATE WARRIORS,AWAY,PHI,WIN,2088,7,23,0,11,5,5,2,2,6,2,0,4,2,9.1
TRUE,2/28/2017,25,-5,GOLDEN STATE WARRIORS,AWAY,WSH,LOSS,2054,9,20,2,9,5,6,4,3,4,2,0,5,3,16.5
TRUE,3/2/2017,23,-4,GOLDEN STATE WARRIORS,AWAY,CHI,LOSS,2128,10,27,2,11,1,1,1,5,5,5,0,4,4,13.2
TRUE,3/5/2017,31,22,GOLDEN STATE WARRIORS,AWAY,NYK,WIN,2211,11,24,5,13,4,6,2,6,6,2,0,2,2,24.4
TRUE,3/6/2017,24,5,GOLDEN STATE WARRIORS,AWAY,ATL,WIN,2071,8,20,6,15,2,3,1,3,9,0,0,2,4,17.1
TRUE,3/8/2017,23,-3,GOLDEN STATE WARRIORS,HOME,BOS,LOSS,2108,8,16,2,9,5,5,3,2,6,0,1,4,4,17
TRUE,3/10/2017,26,-5,GOLDEN STATE WARRIORS,AWAY,MIN,LOSS,2118,10,27,1,8,5,5,3,3,7,1,0,6,4,12.4
TRUE,3/14/2017,29,3,GOLDEN STATE WARRIORS,HOME,PHI,WIN,2245,8,23,5,13,8,8,2,4,5,3,0,5,3,19
TRUE,3/16/2017,25,24,GOLDEN STATE WARRIORS,HOME,ORL,WIN,1687,8,15,2,7,7,7,0,1,9,3,0,2,1,24.9
TRUE,3/18/2017,28,18,GOLDEN STATE WARRIORS,HOME,MIL,WIN,1817,9,13,6,8,4,4,0,4,4,1,1,3,3,24
TRUE,3/20/2017,23,16,GOLDEN STATE WARRIORS,AWAY,OKC,WIN,1793,8,17,7,12,0,0,0,4,6,0,0,5,3,13.5
TRUE,3/21/2017,17,14,GOLDEN STATE WARRIORS,AWAY,DAL,WIN,1785,7,14,3,9,0,0,1,4,9,2,0,0,1,19.8
TRUE,3/24/2017,27,28,GOLDEN STATE WARRIORS,HOME,SAC,WIN,1994,9,18,5,11,4,4,1,6,12,6,0,3,0,31.9
TRUE,3/26/2017,21,8,GOLDEN STATE WARRIORS,HOME,MEM,WIN,2179,8,18,5,12,0,0,0,1,11,4,0,5,1,18.2
TRUE,3/28/2017,32,9,GOLDEN STATE WARRIORS,AWAY,HOU,WIN,2005,11,22,3,11,7,10,2,8,7,2,0,6,5,22.5
TRUE,3/29/2017,29,6,GOLDEN STATE WARRIORS,AWAY,SAS,WIN,2108,9,20,4,8,7,7,1,3,11,1,0,2,5,24.9
